-1.4412,-23.457,0.62673,-11.298
1.7673,-31.753,4.2125,-9.7014
-2.3383,-23.273,-2.0957,-17.239
-9.1679,0.56061,-2.5479,-10.129
19.901,-27.655,9.2996,-25.82
-6.2764,8.7452,-8.1268,-21.806
-10.34,-21.456,-5.345,-6.5644
-19.754,35.085,-18.945,-15.855
-17.725,-0.92956,-11.867,-16.378
-15.006,-28.85,-9.0503,-18.511
22.405,-29.519,20.24,-19.454
0.25776,-43.74,17.693,-20.624
-0.66338,-10.722,1.3061,-9.3033
21.904,-42.953,26.398,-24.107
45.037,-38.239,29.26,-34.241
31.338,-34.831,17.225,-12.615
1.0637,-40.328,-22.114,-9.6935
40.672,-43.251,1.1342,-12.484
38.635,-26.095,-6.2173,-34.978
42.084,-43.744,17.671,-24.342
-9.3711,9.6469,-28.827,-17.883
29.212,-35.325,18.407,-5.5794
-17.768,-30.96,2.8765,-16.04
-7.3614,-31.646,-1.1752,-3.7184
11.113,-27.286,-9.9707,-10.427
-13.838,-27.638,-10.09,-12.085
-0.66547,-37.646,-5.8231,-16.781
10.192,-33.125,20.977,-11.89
-36.123,-27.993,4.9734,-9.7411
4.4512,-45.538,15.277,-22.4
14.255,-36.016,10.313,-19.432
-4.0773,-4.0314,11.266,23.456
-2.8441,21.607,-1.4693,8.0491
-26.154,-45.941,-10.298,-12.932
0.20126,-14.717,5.1313,-0.78262
-7.6283,-35.606,-41.569,12.549
37.31,-41.382,-6.1232,-1.9862
26.375,-41.462,-13.129,15.346
-23.113,-38.796,14.416,2.8729
35.43,-44.022,12.187,1.8862
25.108,-40.544,8.7238,9.5086
22.22,22.65,16.047,11.431
-37.711,-37.067,-41.146,12.045
-8.5865,-34.185,3.6514,6.2715
-30.298,-27.131,-24.247,5.1654
-25.929,-32.361,-4.9744,14.73
-4.7329,-18.731,-7.3273,12.251
-3.7883,-32.53,-7.6891,13.071
-23.572,-12.049,-32.21,16.036
-9.9093,10.215,-9.4817,6.678
-14.302,22.466,-5.6598,17.318
-10.066,-3.2194,-11.35,27.773
0.59199,-16.237,-6.0423,11.198
-21.49,-2.4949,-4.5679,18.639
-22.946,-45.841,-12.01,4.0648
-6.3472,-39.795,-22.295,-17.896
-12.156,5.8472,-5.0172,16.24
-2.2704,-38.277,-30.324,27.934
-6.828,6.959,-37.603,-25.079
20.432,-43.249,6.0061,10.618
-36.661,-14.659,-13.795,8.5337
-24.51,4.2378,-18.676,23.428
-38.203,12.243,-14.039,10.151
-26.037,10.639,-23.072,-34.801
-23.064,-1.2709,-11.444,11.574
-25.37,10.362,-23.045,15.223
-18.578,-30.342,-27.458,23.23
-28.978,-25.161,-7.0554,-8.9195
-15.112,-13.41,-22.023,14.225
-20.816,-8.3558,-1.3935,36.584
-15.095,-23.237,-15.193,31.297
-15.628,-28.527,-9.9035,31.583
-17.525,-22.365,-27.191,37.272
-42.062,3.4087,-27.378,-25.577
-23.833,0.91322,-27.665,-34.12
-7.6035,-46.257,-13.721,-15.051
-40.122,2.6431,-39.41,-33.897
-19.219,-19.354,-25.199,-31.369
-28.912,-4.6543,-24.362,-11.852
-3.7359,-23.761,-27.069,-22.52
-36.781,0.63998,-36.759,-35.244
-29.262,-30.273,-27.464,-39.745
-31.43,11.386,-13.542,-25.229
-20.333,18.974,-28.678,4.6384
-29.955,26.412,-12.164,16.46
-28.878,24.935,-11.596,-7.8313
-33.273,19.684,-9.6692,-8.5618
-36.417,-30.744,3.5281,-16.649
-23.07,22.87,3.0595,21.717
-8.3576,41.635,-33.732,-24.204
-26.82,32.755,-22.402,-36.19
-13.108,33.847,-39.133,-2.3086
-19.47,10.531,-14.956,-27.153
-25.808,39.866,-44.009,-16.321
-25.199,37.212,-14.186,-33.598
-23.683,42.758,-22.86,-34.424
-32.235,25.554,-27.965,-35.034
-22.588,32.27,-21.337,-24.272
-27.484,38.452,-39.435,-31.203
-25.375,36.409,-20.377,2.084
