epoch,train_loss,val_loss,lr,timestamp
1,2641.323120,2808.232178,0.000100,1772510249.5533779
1,2503.983032,2895.765259,0.000100,1772510346.7861197
2,2615.927124,2895.765259,0.000100,1772510385.1285985
3,2584.878784,2895.765259,0.000100,1772510422.0965974
4,2728.662476,2895.765259,0.000100,1772510458.6946054
5,2465.703552,2662.243164,0.000100,1772510494.963964
6,2223.580994,2447.461548,0.000100,1772510534.7748778
7,2048.622925,2238.863892,0.000100,1772510574.401278
8,2001.188354,2136.134827,0.000100,1772510613.9618678
9,1844.052185,1934.332642,0.000100,1772510653.746641
10,1602.067688,1740.531006,0.000100,1772510693.8660228
11,1487.794006,1557.517395,0.000100,1772510733.4350839
12,1300.595215,1387.574707,0.000100,1772510773.7409744
13,1156.749695,1233.452454,0.000100,1772510814.3347054
14,1026.255432,1096.544983,0.000100,1772510854.2769415
15,867.745850,977.454376,0.000100,1772510894.0230963
16,784.762634,876.253296,0.000100,1772510934.0220182
17,817.875748,792.905334,0.000100,1772510972.9398625
18,641.668671,725.336807,0.000100,1772511011.8032475
19,498.250809,673.741882,0.000100,1772511050.8251245
20,456.826103,637.158737,0.000100,1772511089.165753
21,471.731400,611.814270,0.000100,1772511127.2339315
22,456.102524,594.985596,0.000100,1772511165.411777
23,472.007187,584.389267,0.000100,1772511203.4354975
24,447.460281,578.200470,0.000100,1772511241.4154055
25,470.639343,574.610931,0.000100,1772511279.0061686
26,474.473618,572.295715,0.000100,1772511317.2388403
27,464.607834,570.463348,0.000100,1772511355.3183315
28,427.039795,568.367188,0.000100,1772511393.1802716
29,443.649475,566.234894,0.000100,1772511430.6294608
30,413.596100,564.029877,0.000100,1772511468.7767756
31,393.544769,561.887756,0.000100,1772511506.7455926
32,391.694199,560.160645,0.000100,1772511544.217153
33,405.957108,559.072083,0.000100,1772511582.3997357
34,386.020340,558.399216,0.000100,1772511620.620607
35,369.319885,558.191162,0.000100,1772511658.8163397
36,385.975815,558.479340,0.000100,1772511696.9723685
37,358.628586,558.826401,0.000100,1772511731.4053836
38,360.014374,559.576324,0.000100,1772511765.8021417
39,318.430008,560.323486,0.000100,1772511800.2170491
40,316.215836,560.936615,0.000100,1772511834.6222937
41,362.881287,561.729843,0.000100,1772511869.06379
42,348.639008,561.647522,0.000100,1772511903.5976608
43,340.486137,560.447739,0.000100,1772511938.017496
44,307.873581,558.172363,0.000100,1772511972.447821
45,354.670105,556.146103,0.000100,1772512009.9919326
46,309.551636,553.877960,0.000100,1772512048.2770793
47,304.312729,551.952423,0.000100,1772512086.5853949
48,302.683441,549.575714,0.000100,1772512124.5951726
49,294.888092,546.789062,0.000100,1772512162.8181152
50,280.013336,544.429398,0.000100,1772512201.1630204
51,247.384209,541.657074,0.000100,1772512239.7138486
52,279.877869,539.265106,0.000100,1772512278.0962787
53,262.771957,537.141922,0.000100,1772512316.4502134
54,302.597580,535.400208,0.000100,1772512354.1107984
55,234.566528,534.081207,0.000100,1772512392.8623772
56,270.981964,533.335861,0.000100,1772512430.4802184
57,269.777763,532.709564,0.000100,1772512468.172241
58,238.340736,531.942017,0.000100,1772512506.4430885
59,221.126961,531.148895,0.000100,1772512543.8817549
60,257.895073,531.070877,0.000100,1772512581.4470413
61,218.395958,530.774063,0.000100,1772512619.0264103
62,234.120667,530.703674,0.000100,1772512657.0701954
63,241.058876,531.074829,0.000100,1772512695.0316248
64,249.556061,530.011810,0.000100,1772512729.6223164
65,213.700035,528.360992,0.000100,1772512767.1796553
66,196.651772,526.327469,0.000100,1772512806.0541358
67,205.150688,525.082703,0.000100,1772512844.4487195
68,205.777466,523.498032,0.000100,1772512882.687312
69,211.131805,521.815033,0.000100,1772512920.8123784
70,186.580376,520.313293,0.000100,1772512958.9450543
71,198.704430,519.340057,0.000100,1772512996.2885034
72,186.391602,518.012390,0.000100,1772513034.2361314
73,185.803864,517.357147,0.000100,1772513072.40494
74,195.699982,517.117554,0.000100,1772513110.4995553
75,181.339165,516.884277,0.000100,1772513148.7174132
76,189.336220,517.243942,0.000100,1772513186.812731
77,176.428452,517.665375,0.000100,1772513221.2347565
78,173.052963,518.231003,0.000100,1772513255.6617682
79,188.081009,518.357056,0.000100,1772513290.048237
80,180.134483,517.902939,0.000100,1772513324.394349
81,178.076355,517.516235,0.000100,1772513358.7064927
82,156.740768,517.193649,0.000100,1772513393.216449
83,177.215240,516.246368,0.000100,1772513427.6452937
84,143.487152,514.521912,0.000100,1772513465.6384735
85,149.400482,513.437378,0.000100,1772513503.2080052
86,141.315342,512.599060,0.000100,1772513540.8365333
87,171.015663,512.383957,0.000100,1772513578.457268
88,128.930737,512.057159,0.000100,1772513615.9853852
89,167.770718,511.400986,0.000100,1772513653.5213325
90,153.863907,510.472778,0.000100,1772513691.6980307
91,132.872242,510.083572,0.000100,1772513729.8434253
92,131.427170,510.746094,0.000100,1772513767.9848523
93,137.633644,511.793121,0.000100,1772513802.4702237
94,130.496681,511.908432,0.000100,1772513836.9879482
95,140.055569,512.997833,0.000100,1772513871.4829254
96,117.151722,513.110443,0.000100,1772513905.980082
97,134.973595,512.723190,0.000100,1772513940.4636545
98,116.140545,512.575714,0.000100,1772513974.9309447
99,128.728447,511.841339,0.000100,1772514009.3498728
100,118.250427,511.187500,0.000100,1772514043.7941422
