epoch,train_loss,val_loss,lr,timestamp
1,2481.396746,2631.466187,0.000100,1771954354.5381591
2,2352.688564,2206.754429,0.000100,1771954385.6444738
3,1888.743757,1659.870030,0.000100,1771954416.8066218
4,1450.811489,1248.248461,0.000100,1771954447.9586813
5,1045.203430,869.386932,0.000100,1771954479.0400484
6,645.543395,641.744557,0.000100,1771954510.8187637
7,496.924784,536.919874,0.000100,1771954541.9562845
8,523.638554,504.754935,0.000100,1771954572.9701893
9,521.977792,497.414655,0.000100,1771954603.933164
10,437.885763,491.749718,0.000100,1771954635.0673466
11,396.780678,490.215170,0.000100,1771954666.760456
12,410.393712,489.460888,0.000100,1771954697.7921329
13,412.184167,494.714661,0.000100,1771954728.930454
14,377.701379,494.671676,0.000100,1771954757.9980335
15,327.214812,491.185468,0.000100,1771954787.043967
16,376.753765,487.454315,0.000100,1771954815.4318595
17,329.766302,490.828415,0.000100,1771954846.6439095
18,323.120638,490.136932,0.000100,1771954874.9696505
19,309.300751,481.468408,0.000100,1771954903.1033814
20,306.126742,475.723817,0.000100,1771954934.172696
21,263.953396,473.317445,0.000100,1771954965.2517107
22,266.026145,472.266828,0.000100,1771954996.939463
23,257.404180,469.395511,0.000100,1771955027.6333683
24,281.590914,470.528291,0.000100,1771955058.7420053
25,253.960754,473.806307,0.000100,1771955087.263459
26,223.221857,480.110509,0.000100,1771955115.6126857
27,229.600660,480.716234,0.000100,1771955144.1851697
28,202.090011,481.553118,0.000100,1771955172.7775803
29,205.270328,473.200318,0.000100,1771955201.5998693
30,219.821759,467.780097,0.000100,1771955229.8788655
31,232.753207,454.808217,0.000100,1771955262.279386
32,183.049672,461.390442,0.000100,1771955293.704528
33,165.022696,469.265782,0.000100,1771955321.9768755
34,173.661644,469.188019,0.000100,1771955350.2483957
35,155.842117,477.458289,0.000100,1771955378.4918404
36,140.122499,468.540142,0.000100,1771955406.7402318
37,163.539081,463.619420,0.000100,1771955434.9560776
38,125.667278,467.256827,0.000100,1771955463.1033137
39,120.644623,466.867591,0.000100,1771955491.3442502
40,158.026350,462.552479,0.000100,1771955519.5366418
41,136.992076,452.879610,0.000100,1771955547.7712212
42,108.413134,458.795467,0.000100,1771955579.957479
43,123.279578,460.507015,0.000100,1771955608.2272668
44,110.849992,453.504469,0.000100,1771955636.384078
45,102.760296,453.223177,0.000100,1771955664.5906477
46,87.112075,453.094236,0.000100,1771955692.6230478
47,89.947205,459.131498,0.000100,1771955720.5102148
48,88.483647,461.341086,0.000100,1771955748.381716
49,92.400208,460.425160,0.000100,1771955776.2899828
50,75.199301,450.446505,0.000100,1771955804.1980662
51,74.835574,451.354946,0.000100,1771955834.715788
52,67.067969,453.595328,0.000100,1771955862.599851
53,60.523273,467.582548,0.000100,1771955890.5280252
54,93.965620,463.043403,0.000100,1771955918.435873
55,61.817980,458.314344,0.000100,1771955946.3616152
56,58.941456,463.218057,0.000100,1771955974.2481139
57,55.293404,472.789793,0.000100,1771956002.140629
58,64.682905,482.164274,0.000100,1771956030.0187302
59,63.403231,483.783960,0.000100,1771956057.924256
60,51.614092,465.511605,0.000100,1771956085.8083622
61,54.721848,457.089900,0.000100,1771956113.6842747
62,45.411105,464.575797,0.000100,1771956141.564392
63,43.913347,464.993410,0.000100,1771956169.4555938
64,42.302143,465.688123,0.000100,1771956197.6216354
65,32.936689,462.791349,0.000100,1771956225.9355874
66,32.737600,459.993770,0.000100,1771956254.3702288
67,45.658159,460.033894,0.000100,1771956282.6420662
68,31.162931,452.171973,0.000100,1771956311.1894596
69,34.225351,447.545680,0.000100,1771956339.538072
70,36.352301,455.966500,0.000100,1771956371.0191283
71,33.183158,471.766041,0.000100,1771956399.1474357
72,29.693677,463.212160,0.000100,1771956427.698051
73,25.492569,449.749584,0.000100,1771956456.1501448
74,31.958558,449.795319,0.000100,1771956484.3080041
75,21.903084,447.234216,0.000100,1771956512.368309
76,25.811260,452.726534,0.000100,1771956543.700829
77,19.766931,460.916561,0.000100,1771956571.818287
78,23.443536,471.936916,0.000100,1771956599.994319
79,17.703066,464.063544,0.000100,1771956628.113158
80,21.155061,455.368613,0.000100,1771956656.1804433
81,27.683793,457.524852,0.000100,1771956684.2316546
82,17.919884,450.729673,0.000100,1771956712.3099065
83,21.161124,459.491889,0.000100,1771956740.3894145
84,18.231201,459.329603,0.000100,1771956768.467989
85,18.371357,458.767144,0.000100,1771956796.5499747
86,16.221056,455.339419,0.000100,1771956824.541461
87,17.983830,451.737976,0.000100,1771956852.6000493
88,12.195979,455.247328,0.000100,1771956880.738269
89,21.066535,454.015254,0.000100,1771956908.757476
90,13.641438,448.844777,0.000100,1771956936.8224015
91,16.710393,450.750504,0.000100,1771956964.848273
92,23.525831,460.500155,0.000100,1771956992.87399
93,11.543677,452.907990,0.000100,1771957020.8840833
94,13.743857,460.467187,0.000100,1771957048.907189
95,14.492714,460.700176,0.000100,1771957076.922326
96,13.598264,458.184677,0.000100,1771957105.025722
97,9.466869,464.150072,0.000100,1771957133.0676115
98,10.530638,474.864223,0.000100,1771957161.1615658
99,10.241313,457.321472,0.000100,1771957189.1899126
100,8.906680,452.765959,0.000100,1771957217.2959764
