0.89177,-42.009,-3.5671,-23.181
-8.1073,-28.098,-1.6284,-14.038
-9.8173,-35.364,3.204,-21.136
-14.419,-3.1633,-5.9299,-15.983
23.527,-35.929,14.229,-26.179
-9.1757,15.053,-5.7704,-23.852
-10.748,-22.917,-10.126,-22.045
-21.306,38.388,-23.047,-17.421
-7.8554,-3.6321,-3.9968,-17.09
-22.11,-33.341,-3.6365,-22.389
23.148,-31.96,27.922,-25.682
20.136,-40.269,20.7,-22.029
2.1927,-8.2019,6.9745,-14.415
43.588,-42.755,30.839,-32.476
45.501,-44.356,28.843,-35.747
27.68,-44.445,16.91,-18.832
35.732,-40.933,-16.218,-26.565
44.03,-41.863,-3.2143,-13.026
42.336,-44.526,38.075,-39.975
42.136,-43.962,18.597,-30.848
-12.058,15.109,-9.0291,-16.828
24.437,-40.259,16.014,-2.1064
-5.0378,-32.863,1.1668,-2.6563
0.42849,-28.204,-10.613,-8.3764
19.089,-27.705,-14.795,-13.371
35.611,-30.674,15.62,-17.753
-3.0876,-20.47,1.5444,-17.808
18.059,-33.902,1.0014,-15.657
-16.587,-26.828,3.4628,-12.662
19.323,-30.356,6.6448,-24.748
32.919,-37.488,-2.1622,-33.679
-2.9099,4.4371,14.438,20.374
-7.4567,8.7647,-8.1786,7.2028
-4.8891,-24.56,-12.841,-15.678
-7.3638,-32.591,-7.6023,-0.97039
-10.399,-38.93,-17.609,9.5229
36.894,-43.473,-11.866,-2.7556
34.917,-43.161,-18.123,13.713
39.539,-42.182,25.941,2.7637
41.86,-44.607,0.60364,0.13922
25.585,-34.976,-7.6213,9.6781
24.399,25.984,12.142,15.044
-28.859,13.874,-14.4,13.265
-2.853,-35.633,3.151,2.8932
-0.31765,-3.0288,-6.4977,3.9243
-18.212,-16.525,-5.9619,12.718
-3.5958,-14.437,-5.2422,9.2328
0.26881,-33.449,-12.066,11.451
-18.724,-9.2535,-7.4856,18.951
-11.605,2.6559,-16.055,3.8558
-12.384,16.827,-6.0669,27.708
-11.637,5.2664,-10.883,22.982
-6.505,-16.334,-0.22384,10.684
-34.12,3.4905,-13.433,19.706
-14.2,-9.8766,-9.8806,-1.9304
30.386,-31.555,-37.058,10.774
-15.589,5.2416,-11.951,15.885
-0.8349,-37.562,-7.6345,24.452
-11.033,4.8775,-19.051,14.059
18.569,-25.21,10.702,9.7927
-6.0986,-23.855,-14.61,9.4683
-28.417,-8.2044,-22.901,26.648
-18.541,7.831,-15.355,20.213
-26.638,20.134,-6.83,2.8551
-20.64,1.4264,-10.162,13.198
-25.181,0.45383,-21.407,23.378
-16.023,15.65,-19.292,22.476
-12.173,-29.616,-4.7408,1.435
-17.26,-6.8483,-13.415,16.917
-24.224,-9.2828,-5.0995,30.977
-19.263,-34.245,-21.247,29.144
-25.701,-28.461,-7.3864,27.697
-23.757,-24.128,-14.21,34.726
-33.247,8.7327,-28.066,-25.932
-20.571,-1.158,-27.194,-35.303
-11.899,1.2969,-23.694,-18.91
-37.779,21,-41.789,-36.868
-18.848,-15.141,-34.381,-33.06
-32.218,-7.1163,-23.466,-11.312
-10.3,-16.406,-23.362,-24.644
-38.041,4.6064,-36.301,-37.569
9.0038,35.409,-23.581,-39.578
-34.325,16.944,-15.734,-30.633
-16.787,18.307,-29.931,9.8377
-25.357,28.137,-15.796,19.781
-30.461,20.738,-15.047,14.823
-15.373,18.729,-12.634,18.641
-8.2662,24.505,6.0591,-21.513
-18.097,28.268,-20.196,26.797
-8.3616,36.435,-32.435,-28.15
-26.83,38.58,-26.002,-38.252
-17.674,36.451,-29.27,-1.9994
-15.487,39.165,-17.255,-36.53
-20.837,41.412,-39.336,-19.806
-25.668,38.724,-23.595,-37.441
-22.703,44.528,-28.507,-37.764
-36.514,32.138,-38.07,-39.547
-18.473,32.432,-26.194,-28.451
-25.419,37.335,-32.049,-33.506
-25.348,32.962,-19.832,6.9873
